"4-1001","100","EPAULE","001"
"4-10010","100","FUMEE CRUE","010"
"4-10011","100","FUMEE CUITE","011"
"4-10012","100","SAUCISSERIE FUMEE","012"
"4-10013","100","SAUCISSES CUITES","013"
"4-10014","100","ANDOUILLETTES","014"
"4-10015","100","ANDOUILLES","015"
"4-10016","100","CHOUCROUTE","016"
"4-10017","100","SAUCISSONS A L AIL","017"
"4-10018","100","MORTADELLES/ROULADES/BALLOTINE","018"
"4-10019","100","PATES","019"
"4-1002","100","JAMBON CUIT","002"
"4-10020","100","RILLETTES","020"
"4-10021","100","PATES DE TETE ET LANGUES","021"
"4-10024","100","BOUDINS","024"
"4-10025","100","SAUCISSERIE FRAICHE","025"
"4-1004","100","JAMBONNEAUX CUITS","004"
"4-1005","100","JAMBONS ET SALAISONS SECS","005"
"4-1006","100","SAUCISSONS SECS","006"
"4-1007","100","SAUCISSONS SECS PIMENTES","007"
"4-1008","100","SALAISON CRUE","008"
"4-10080","100","STAND ANIMATION CHARC. TRAIT.","080"
"4-1009","100","SALAISON CUITE","009"
"4-1011","101","PRODUITS COCKTAIL","001"
"4-10110","101","PRODUITS ASIATIQUES","010"
"4-10112","101","VIANDES FROIDES","012"
"4-10113","101","PLATS PREPARES","013"
"4-10118","101","TRAITEUR FRAIS EMBALLE","018"
"4-1012","101","ENTREES FROIDES","002"
"4-1013","101","SALADES ET CRUDITES","003"
"4-1014","101","TARTES ET ASSIMILES","004"
"4-1015","101","CHARCUTERIE PATISSIERE","005"
"4-1017","101","TRAITEUR DE LA MER","007"
"4-1021","102","PIZZA RONDE","001"
"4-1023","102","AUTRES PIZZA ET QUICHE","003"
"4-1031","103","VOLAILLES ROTIES","001"
"4-1032","103","AUTRES PRODUITS ROTIS","002"
"4-1042","104","SANDWICH FOCACCIA","002"
"4-1051","105","JAMBON CUIT","001"
"4-1052","105","JAMBON SEC","002"
"4-1053","105","SAUCISSON SEC","003"
"4-1054","105","SALAISON CRUE","004"
"4-1055","105","SALAISON CUITE","005"
"4-1056","105","PATES / RILLETTES","006"
"4-1057","105","AUTRES PROD.CHARCUTERIE","007"
"4-1062","106","SALADES","002"
"4-1063","106","CHARCUTERIE PATISSIERE","003"
"4-1064","106","PLATS CUISINES","004"
"4-1081","108","LES ENTREES FRAICHEUR","001"
"4-1082","108","LES SNACKS","002"
"4-1084","108","LES DESSERTS","004"
"4-1087","108","LES MENUS","007"
"4-11","1","NATURE","001"
"4-1101","110","BRIES/CAMEMBERTS/COULOMIERS","001"
"4-11010","110","REBLOCHONS","010"
"4-11011","110","TOMMES DE SAVOIE","011"
"4-11012","110","MORBIER","012"
"4-11013","110","CANTAL","013"
"4-11014","110","SAINT NECTAIRE","014"
"4-11015","110","PYRENEES VACHE","015"
"4-11017","110","PYRENEES PUR BREBIS","017"
"4-11018","110","RACLETTES","018"
"4-11019","110","EMMENTAL","019"
"4-1102","110","TOMES","002"
"4-11020","110","BEAUFORT ET ABONDANCE","020"
"4-11021","110","COMTE","021"
"4-11022","110","FROMAGES SUISSES","022"
"4-11023","110","ROQUEFORT","023"
"4-11025","110","BLEU D AUVERGNE","025"
"4-11026","110","AUTRES PATES PERSILLEES","026"
"4-11027","110","FROMAGES ITALIENS","027"
"4-11028","110","FROMAGES D EUROPE","028"
"4-11029","110","CHEVRES A DECOUPER","029"
"4-1103","110","MUNSTER/PT LEVEQUE/MAROILLE/","003"
"4-11030","110","MI CHEVRE A DECOUPER","030"
"4-11031","110","SPECIALITES NUES PIECE","031"
"4-11032","110","FONDUES","032"
"4-1104","110","SAINT PAULIN","004"
"4-1105","110","EDAM","005"
"4-1106","110","GOUDA","006"
"4-1107","110","MIMOLETTE","007"
"4-1108","110","HOLLANDE","008"
"4-1109","110","PETITES MEULES","009"
"4-11090","110","COMMANDE CLIENT FROMAGE","090"
"4-1111","111","FROMAGES FRAIS","001"
"4-1112","111","CREME FRAICHE","002"
"4-1113","111","BEURRE","003"
"4-1114","111","OEUFS","004"
"4-1115","111","AUTRES","005"
"4-1121","112","PATES MOLLES","001"
"4-1122","112","HOLLANDES ET PETITES MEULES","002"
"4-1123","112","PATE PRESSEE NON CUITE","003"
"4-1124","112","RACLETTES","004"
"4-1125","112","EMMENTAL ET ASSIMILES","005"
"4-1126","112","ROQUEFORT","006"
"4-1127","112","BLEU ET ASSIMILES","007"
"4-1128","112","PIECES ( CHEVRES,BREBIS,....)","008"
"4-1129","112","AUTRES CREMERIES","009"
"4-12","1","AROMATISE","002"
"4-13","1","FRUIT ET PULPE","003"
"4-1361","136","POULET","001"
"4-1362","136","DINDE","002"
"4-1363","136","LAPIN","003"
"4-1365","136","CANETTE","005"
"4-1366","136","PINTADE","006"
"4-1367","136","AUTRES","007"
"4-1381","138","GIBIER","001"
"4-1391","139","SAUCISSERIE","001"
"4-1392","139","BROCHETTES","002"
"4-1394","139","CHAIR","004"
